Transaction ID,Date,Description,Amount
QPBXOO5X,2025-02-09,Grocery shopping,227.63
WNOK3KF8,2025-02-15,Restaurant dinner,160.43
1M1QOKZ9,2025-02-17,Grocery shopping,6.05
G0RYRSV0,2025-02-26,Mall shopping,135.43
6KGKZDB2,2025-01-19,Mall shopping,98.23
4EZCA1NX,2025-02-23,Starbucks coffee,179.98
UEKQMFYC,2025-02-13,Grocery shopping,254.06
EW4YRTD0,2025-01-24,Netflix subscription,182.15
JVLIV8GB,2025-02-14,Fast food order,282.41
V8479P99,2025-01-18,Electric bill payment,223.95
HYPLGVA4,2025-02-12,Gym membership,95.95
N5JI1NMH,2025-01-29,Grocery shopping,133.7
55IQWN6E,2025-02-15,Train ticket,284.36
S5F4OM5K,2025-01-17,Mall shopping,220.39
N72ADPL7,2025-01-19,Train ticket,211.9
W2LSF5AK,2025-02-19,Train ticket,162.09
FFEM4ZI6,2025-02-20,Uber ride,69.49
J6JLF30O,2025-01-26,Fast food order,261.23
1OX7A1J6,2025-01-23,Grocery shopping,85.92
TH9V2ES2,2025-01-12,Gym membership,168.21
GGBZ0NKM,2025-02-21,Train ticket,182.92
716OF6T0,2025-02-15,Train ticket,149.4
MPR2N7MT,2025-02-05,Movie tickets,122.74
540HH69K,2025-02-27,Gas station refill,135.78
D734NHHI,2025-01-28,Spotify subscription,129.63
HWD6ZVBW,2025-01-29,Grocery shopping,68.27
7HWC1Y7D,2025-01-19,Gas station refill,33.63
4ZXPT0MO,2025-02-20,Restaurant dinner,220.65
AK5C1BRN,2025-02-08,Spotify subscription,124.0
JO1ZWJHV,2025-02-15,Amazon purchase,298.22
0RXWV44C,2025-01-27,Fast food order,59.51
7ABMP0P8,2025-02-27,Starbucks coffee,222.41
YKICYQM5,2025-01-16,Gym membership,48.31
LFZ7IV6H,2025-01-22,Restaurant dinner,76.24
X19TCEBX,2025-02-17,Uber ride,94.41
65KTAA0U,2025-02-06,Gas station refill,232.55
WW2L22AG,2025-01-17,Electric bill payment,99.68
LBWUVO7T,2025-02-11,Gas station refill,141.33
HC8ERXIO,2025-01-29,Electric bill payment,6.7
ZHZI7JR3,2025-02-22,Amazon purchase,165.13
W8FKSUHN,2025-03-02,Mall shopping,272.12
0M5BEAMV,2025-01-24,Netflix subscription,78.72
BSJITJOC,2025-01-29,Amazon purchase,189.65
DY0MR033,2025-01-16,Electric bill payment,188.92
4OVPX3ZC,2025-03-03,Electric bill payment,295.89
ABDPF5E7,2025-03-05,Amazon purchase,91.6
623G8URR,2025-03-04,Restaurant dinner,79.25
44TURGDC,2025-02-20,Train ticket,265.81
YVFZVFBD,2025-02-02,Gas station refill,80.54
IS7Q2OQV,2025-02-26,Fast food order,11.51
GIX2ZKGV,2025-02-27,Starbucks coffee,294.38
4PSZ3TLZ,2025-01-16,Movie tickets,258.31
IUZXGM2R,2025-02-18,Mall shopping,235.27
IWNPA3VJ,2025-01-18,Starbucks coffee,253.6
RWGTYHJJ,2025-02-11,Movie tickets,57.8
4QWP6WXC,2025-02-12,Restaurant dinner,110.54
UT1345AN,2025-02-20,Electric bill payment,99.83
3USUUQ9Y,2025-01-13,Gym membership,87.41
O8VETUAY,2025-01-12,Mall shopping,138.55
0BFBTLNX,2025-01-23,Train ticket,254.87
U4B1MDSM,2025-02-06,Grocery shopping,78.25
XUTFJ73Z,2025-01-22,Fast food order,149.35
U65OUJD0,2025-01-17,Starbucks coffee,142.58
LJGBZILR,2025-02-27,Electric bill payment,265.41
4Z7ZZM8W,2025-02-13,Train ticket,248.79
B5X6BOTF,2025-02-28,Grocery shopping,288.01
O7MY0LGJ,2025-01-31,Electric bill payment,280.61
V0DPY9TJ,2025-02-25,Gym membership,299.82
SIKZB0Q6,2025-02-07,Grocery shopping,215.5
ITD09OA9,2025-03-06,Fast food order,263.73
7IEWVVQQ,2025-01-30,Grocery shopping,64.53
D7WXM97B,2025-02-10,Mall shopping,49.5
9HAYGHW9,2025-02-09,Fast food order,107.34
8JYVBEBZ,2025-02-19,Grocery shopping,129.42
7UDMCJT8,2025-03-03,Grocery shopping,82.06
KDN70Y3P,2025-01-15,Netflix subscription,36.47
TDNDACH8,2025-02-12,Gym membership,106.47
2LLXSA01,2025-02-08,Netflix subscription,81.75
HMV0DGNS,2025-01-21,Train ticket,243.18
X17CX3JC,2025-01-15,Grocery shopping,148.54
NP9N54CB,2025-02-20,Gym membership,102.64
0SZTWR0F,2025-02-04,Uber ride,85.09
CZNSIVGZ,2025-02-22,Amazon purchase,219.64
714LFQ6O,2025-02-23,Grocery shopping,286.92
34GZ66E4,2025-02-03,Electric bill payment,282.77
PM3HKD9W,2025-03-12,Uber ride,6.03
LSRS5LLN,2025-01-12,Starbucks coffee,56.37
N0B2ZSXC,2025-02-18,Mall shopping,193.76
XOB5JKDN,2025-01-25,Movie tickets,256.83
XAVJSY4C,2025-02-18,Spotify subscription,13.11
GQPHGQFL,2025-01-14,Uber ride,230.53
JUTN5CW6,2025-03-06,Spotify subscription,65.75
U0IBFSAM,2025-03-04,Movie tickets,28.43
78C1GFUP,2025-01-23,Gym membership,231.45
7NDD171Q,2025-01-29,Amazon purchase,95.4
GNO7ZBTS,2025-02-20,Gas station refill,293.71
MGZL587E,2025-02-23,Gas station refill,49.35
M7XBOOO3,2025-02-02,Fast food order,263.37
9YBF9ZUL,2025-03-10,Mall shopping,240.43
H4G54N1H,2025-01-27,Uber ride,103.61
